REF_DATE;GEO;DGUID;Month of birth;Characteristics;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1991;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;403816;;;;0
1992;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;399109;;;;0
1993;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;389037;;;;0
1994;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;386243;;;;0
1995;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;378685;;;;0
1996;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;366833;;;;0
1997;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;349543;;;;0
1998;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;342966;;;;0
1999;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;337821;;;;0
2000;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;328596;;;;0
2001;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;334615;;;;0
2002;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;329894;;;;0
2003;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;336352;;;;0
2004;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;339012;;;;0
2005;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;345365;;;;0
2006;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;357921;;;;0
2007;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;370369;;;;0
2008;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;381860;;;;0
2009;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;384651;;;;0
2010;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;379191;;;;0
2011;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;379244;;;;0
2012;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;383101;;;;0
2013;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;381054;;;;0
2014;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;384577;;;;0
2015;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;382979;;;;0
2016;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;384023;;;;0
2017;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;377627;;;;0
2018;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;374617;;;;0
2019;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;372978;;;;0
2020;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;360552;;;;0
2021;Canada, place of residence of mother;2016A000011124;Total, month of birth;Number of live births;Number;223;units;0;v21400536;01.01.2001;367684;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;32213;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;31982;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;31031;;;;0
