"REF_DATE,""GEO";""",""DGU";"ID""";",""Month of death"",""Characteristics"",""UOM"",""UO";"M_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""195569"","""","""","""",""0"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""196535"","""","""","""",""0"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""204912"","""","""","""",""0"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""207077"","""","""","""",""0"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""210733"","""","""","""",""0"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""212880"","""","""","""",""0"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""215669"","""","""","""",""0"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""218091"","""","""","""",""0"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""219530"","""","""","""",""0"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""218062"","""","""","""",""0"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""219538"","""","""","""",""0"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""223603"","""","""","""",""0"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""226169"","""","""","""",""0"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""226584"","""","""","""",""0"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""230132"","""","""","""",""0"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""228079"","""","""","""",""0"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""235217"","""","""","""",""0"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""238617"","""","""","""",""0"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""238418"","""","""","""",""0"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""240075"","""","""","""",""0"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""243511"","""","""","""",""0"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""246596"","""","""","""",""0"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""252338"","""","""","""",""0"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""258821"","""","""","""",""0"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""264333"","""","""","""",""0"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""267213"","""","""","""",""0"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""278298"","""","""","""",""0"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""285675"","""","""","""",""0"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""285270"","""","""","""",""0"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216330"",""1.1.1"",""307205"","""","""","""",""0"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Total, month of";"death"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216331"",""1.1.2"",""100.0"","""","""","""",""1"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""17459"","""","""","""",""0"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""18353"","""","""","""",""0"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""18441"","""","""","""",""0"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20954"","""","""","""",""0"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""19005"","""","""","""",""0"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""19534"","""","""","""",""0"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21617"","""","""","""",""0"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20578"","""","""","""",""0"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21207"","""","""","""",""0"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""22661"","""","""","""",""0"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20429"","""","""","""",""0"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20165"","""","""","""",""0"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20621"","""","""","""",""0"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21796"","""","""","""",""0"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""22604"","""","""","""",""0"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""20120"","""","""","""",""0"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21924"","""","""","""",""0"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21310"","""","""","""",""0"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""22250"","""","""","""",""0"""
"2010,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""21316"","""","""","""",""0"""
"2011,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""23150"","""","""","""",""0"""
"2012,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""22399"","""","""","""",""0"""
"2013,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""25596"","""","""","""",""0"""
"2014,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""23808"","""","""","""",""0"""
"2015,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""26946"","""","""","""",""0"""
"2016,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""23719"","""","""","""",""0"""
"2017,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""27253"","""","""","""",""0"""
"2018,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""28910"","""","""","""",""0"""
"2019,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""26383"","""","""","""",""0"""
"2020,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Number of deaths"",""Number"",""223"",""units"",""0"",""v21216332"",""1.2.1"",""27026"","""","""","""",""0"""
"1991,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.9"","""","""","""",""1"""
"1992,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.3"","""","""","""",""1"""
"1993,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.0"","""","""","""",""1"""
"1994,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.1"","""","""","""",""1"""
"1995,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.0"","""","""","""",""1"""
"1996,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.2"","""","""","""",""1"""
"1997,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.0"","""","""","""",""1"""
"1998,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.4"","""","""","""",""1"""
"1999,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.7"","""","""","""",""1"""
"2000,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""10.4"","""","""","""",""1"""
"2001,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.3"","""","""","""",""1"""
"2002,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.0"","""","""","""",""1"""
"2003,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.1"","""","""","""",""1"""
"2004,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.6"","""","""","""",""1"""
"2005,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.8"","""","""","""",""1"""
"2006,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.8"","""","""","""",""1"""
"2007,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.3"","""","""","""",""1"""
"2008,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""8.9"","""","""","""",""1"""
"2009,""Canada,";place;of;"residence"",""2016A000011124"",""Month of death,";"January"",""Percentage of deaths"",""Percentage"",""242"",""units"",""0"",""v21216333"",""1.2.2"",""9.3"","""","""","""",""1"""
