REF_DATE;GEO;DGUID;Indicator;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1991;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;172251;;;;0
1992;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;164574;;;;0
1993;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;159315;;;;0
1994;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;159960;;;;0
1995;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;160251;;;;0
1996;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;156690;;;;0
1997;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;153306;;;;0
1998;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;152820;;;;0
1999;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;155742;;;;0
2000;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;157395;;;;0
2001;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;146619;;;;0
2002;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;146739;;;;0
2003;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;147390;;;;0
2004;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;146241;;;;0
2005;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;147909;;;;0
2006;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;150504;;;;0
2007;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;148956;;;;0
2008;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;147288;;;;0
2009;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;146412;;;;0
2010;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;145512;;;;0
2011;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;144126;;;;0
2012;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;147426;;;;0
2013;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;142944;;;;0
2014;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;147744;;;;0
2015;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;149256;;;;0
2016;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;149037;;;;0
2017;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;148908;;;;0
2018;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;150858;;;;0
2019;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;146121;;;;0
2020;Canada;2016A000011124;Number of marriages, total;Number;223;units;0;v1446862404;01.янв;98355;;;;0
1991;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;06.янв;;;;1
1992;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.авг;;;;1
1993;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.июн;;;;1
1994;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.май;;;;1
1995;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.май;;;;1
1996;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.мар;;;;1
1997;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.янв;;;;1
1998;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.янв;;;;1
1999;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.янв;;;;1
2000;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;05.янв;;;;1
2001;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июл;;;;1
2002;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июл;;;;1
2003;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июл;;;;1
2004;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июн;;;;1
2005;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июн;;;;1
2006;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.июн;;;;1
2007;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.май;;;;1
2008;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.апр;;;;1
2009;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.апр;;;;1
2010;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.мар;;;;1
2011;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2012;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2013;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2014;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2015;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2016;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2017;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2018;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2019;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;03.сен;;;;1
2020;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;02.июн;;;;1
1991;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;571.5;;;;1
1992;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;548.2;;;;1
1993;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;535.1;;;;1
1994;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;542.7;;;;1
1995;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;546.0;;;;1
1996;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;532.4;;;;1
1997;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;524.7;;;;1
1998;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;526.7;;;;1
1999;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;538.7;;;;1
2000;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;538.3;;;;1
2001;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;500.8;;;;1
